代號,名稱,產業,評分,ROE(%),PE,PB,殖利率(%),負債率(%)
00688L,國泰20年美債正2,其他,9.06,25.05,19.1,0.66,7.48,48.21
009812,野村日本東證,其他,9.04,27.43,8.86,1.77,7.45,41.33
2352,佳世達,電腦及週邊設備業,9.03,25.96,15.56,4.78,7.79,20.67
2415,錩新,電子零組件業,9.02,27.6,9.53,4.93,5.63,21.29
2478,大毅,電子零組件業,8.99,26.84,15.89,4.7,5.78,25.84
1725,元禎,化學工業,8.97,27.56,5.13,0.52,5.32,31.43
3441,聯一光,光電業,8.95,23.11,12.68,2.74,7.74,32.05
00885,富邦越南,其他,8.95,25.09,21.25,1.64,6.82,23.94
4416,三圓,建材營造業,8.95,29.87,12.7,3.81,6.45,34.86
00782B,國泰A級公用債,其他,8.95,27.73,12.56,2.6,6.21,49.45
4139,馬光-KY,生技醫療業,8.93,28.07,5.75,1.43,6.83,30.29
6869,雲豹能源,綠能環保,8.91,29.53,9.8,3.28,5.2,38.4
3617,碩天,其他電子業,8.91,22.9,12.92,2.62,6.44,35.93
4737,華廣,生技醫療業,8.9,25.74,19.14,2.02,7.83,25.85
6416,瑞祺電通,通信網路業,8.9,24.66,14.32,2.95,5.83,41.25
4109,加捷生醫,生技醫療業,8.9,26.95,20.45,1.95,7.67,31.12
3567,逸昌,半導體業,8.86,21.62,11.64,2.87,5.29,29.33
5403,中菲,資訊服務業,8.86,23.88,16.73,1.91,5.36,44.92
6290,良維,電子零組件業,8.86,24.42,10.94,1.5,5.65,58.86
3588,通嘉,半導體業,8.86,28.65,15.79,2.09,6.38,46.17
3577,泓格,電腦及週邊設備業,8.85,28.18,6.13,0.89,5.72,49.41
5013,強新,鋼鐵工業,8.85,23.44,10.63,3.68,5.26,25.67
4971,IET-KY,半導體業,8.85,23.44,13.65,1.03,7.89,53.07
6542,隆中,文化創意業,8.84,22.7,6.42,1.14,5.27,28.15
00915,凱基優選高股息30,其他,8.84,29.29,15.9,3.96,7.98,31.53
6121,新普,電腦及週邊設備業,8.83,20.49,10.75,0.79,7.02,41.17
2605,新興,航運業,8.83,29.66,6.85,2.9,5.74,22.22
00779B,凱基美債25+,其他,8.83,23.33,14.29,3.51,5.83,22.14
8476,台境*,綠能環保,8.83,22.37,12.88,0.71,7.04,59.37
5471,松翰,半導體業,8.82,28.76,18.57,0.84,5.25,53.12
00867B,新光A-BBB電信債,其他,8.82,20.43,10.89,1.97,7.67,38.63
6242,立康,生技醫療業,8.81,24.14,10.08,3.59,7.78,30.62
2067,嘉鋼,電機機械,8.8,29.43,11.2,1.11,7.31,67.75
7556,意德士,半導體業,8.8,21.28,14.53,2.09,6.81,24.28
3013,晟銘電,電腦及週邊設備業,8.8,24.06,10.46,1.99,7.66,53.04
3597,映興,電子零組件業,8.79,28.18,17.61,4.56,6.65,21.07
2108,南帝,橡膠工業,8.77,29.25,16.54,3.96,6.62,30.17
1423,利華,紡織纖維,8.76,25.57,16.62,1.83,7.68,56.62
3008,大立光,光電業,8.73,23.6,12.93,1.65,7.98,52.88
00981A,主動統一台股增長,其他,8.73,20.83,12.74,2.94,6.59,21.77
4923,力士,半導體業,8.7,27.54,18.35,3.14,6.83,27.59
2929,淘帝-KY,貿易百貨業,8.69,24.85,8.7,2.94,5.45,45.21
6194,育富,電子零組件業,8.68,26.0,6.84,0.61,7.81,59.93
5276,達輝-KY,其他業,8.67,18.26,17.07,0.82,5.21,29.95
3630,新鉅科,光電業,8.67,24.55,8.83,3.86,7.09,36.35
8289,泰藝,電子零組件業,8.67,25.78,7.59,4.84,7.95,24.87
5520,力泰,建材營造業,8.66,23.16,13.22,3.41,6.56,35.37
6236,中湛,其他業,8.66,23.2,12.94,1.91,5.25,59.52
2891,中信金,金融保險業,8.65,25.41,13.67,2.06,7.17,52.24
3232,昱捷,電子通路業,8.65,25.15,11.0,2.81,6.59,51.5
3041,揚智,半導體業,8.65,20.29,14.97,2.17,7.75,26.4
3416,融程電,電腦及週邊設備業,8.64,29.03,21.31,2.11,6.2,21.5
00752,中信中國50,其他,8.64,18.07,15.83,1.35,7.72,25.47
2880,華南金,金融保險業,8.63,28.24,17.68,1.95,5.4,59.04
3290,東浦,電子零組件業,8.62,24.51,18.37,3.56,5.95,29.94
9103,美德醫療-DR,其他,8.62,20.45,16.7,1.97,5.26,39.03
2887I,台新新光辛特,其他,8.62,18.08,15.99,1.04,7.98,22.95
5211,蒙恬,資訊服務業,8.62,24.11,16.56,0.7,7.79,67.53
00982B,FT投資級債20+,其他,8.61,20.98,10.63,1.52,6.41,45.5
8349A,恒耀甲特,其他,8.61,27.74,9.79,3.64,7.56,43.2
020030,統一智慧電動車N,其他,8.6,19.21,17.73,0.78,6.3,33.58
6165,浪凡,數位雲端,8.6,23.12,9.74,2.02,7.24,42.22
4961,天鈺,半導體業,8.6,28.42,9.71,2.37,5.6,55.79
4939,亞電,電子零組件業,8.59,27.38,26.74,0.54,7.64,29.07
9924,福興,居家生活,8.58,26.77,7.94,2.85,7.8,40.19
6936,永鴻生技,其他,8.57,22.7,17.57,0.95,6.77,55.42
5434,崇越,電子通路業,8.57,27.93,6.22,0.92,6.17,51.91
1528,恩德,電機機械,8.55,20.65,13.36,0.94,7.94,50.11
2719,燦星旅,觀光餐旅,8.55,24.06,6.14,2.69,6.17,29.38
6613,朋億*,其他電子業,8.54,23.92,20.73,2.95,7.76,24.93
009802,富邦旗艦50,其他,8.53,28.12,24.79,1.97,6.77,20.88
5215,科嘉-KY,電腦及週邊設備業,8.53,24.27,13.7,4.69,6.03,45.46
3357,臺慶科,電子零組件業,8.52,18.67,9.91,0.87,6.8,42.33
6187,萬潤,其他電子業,8.51,24.64,15.65,1.81,6.26,64.14
6449,鈺邦,電子零組件業,8.5,29.78,16.24,3.92,5.24,44.84
6781,AES-KY,電子零組件業,8.48,25.93,16.45,2.5,7.67,53.75
4735,豪展,生技醫療業,8.48,26.11,6.55,4.92,6.84,24.33
1229,聯華,食品工業,8.47,26.33,6.48,3.36,6.46,20.01
00665L,富邦恒生國企正2,其他,8.45,18.67,17.0,1.57,5.85,24.61
1611,中電,電器電纜,8.45,25.36,22.89,1.37,6.74,49.94
006207,復華滬深,其他,8.44,25.81,16.77,4.35,6.46,43.63
1215,卜蜂,食品工業,8.44,28.85,27.99,0.77,6.91,26.73
00756B,群益投等新興公債,其他,8.43,23.13,16.85,1.72,6.36,56.03
3094,聯傑,半導體業,8.41,17.97,17.6,0.74,6.5,33.23
3545,敦泰,半導體業,8.41,16.02,13.12,0.61,6.52,39.06
6184,大豐電,其他業,8.4,20.65,12.06,3.92,7.85,23.99
4711,永純,化學工業,8.4,29.4,19.58,0.62,5.48,63.64
7715,裕山,其他,8.39,22.16,7.76,0.83,7.87,50.84
5234,達興材料,光電業,8.39,23.2,18.5,4.18,8.0,22.17
1784,訊聯,生技醫療業,8.38,26.72,19.72,1.52,7.23,56.42
6179,亞通,其他業,8.37,29.96,21.12,1.3,7.01,59.28
3372,典範,半導體業,8.36,17.42,8.47,1.32,6.82,24.58
2321,東訊,通信網路業,8.36,22.12,7.6,0.67,7.49,50.63
9949,琉園,文化創意業,8.35,28.29,13.87,4.0,7.93,54.34
5355,佳總,電子零組件業,8.35,27.17,14.19,2.62,5.07,60.44
3016,嘉晶,半導體業,8.35,25.53,11.79,2.92,5.06,62.14
009803,保德信市值動能50,其他,8.35,26.93,13.7,3.03,5.9,51.74
1583,程泰,電機機械,8.35,27.63,14.54,4.23,5.67,56.15
2850,新產,金融保險業,8.35,24.01,19.96,4.01,7.4,22.13
1789,神隆,生技醫療業,8.33,23.81,16.09,3.74,6.02,40.33
1219,福壽,食品工業,8.33,28.21,15.17,3.67,5.0,51.16
7732,金興精密,其他,8.32,15.65,15.25,0.81,5.98,39.02
2332,友訊,通信網路業,8.31,28.32,9.8,4.13,5.96,59.56
1569,濱川,電腦及週邊設備業,8.31,29.25,25.37,0.65,5.37,41.56
2015,豐興,鋼鐵工業,8.3,25.32,20.38,1.96,5.8,51.73
5907,大洋-KY,貿易百貨業,8.28,27.89,24.33,2.26,5.27,25.81
2017,官田鋼,鋼鐵工業,8.28,28.68,7.12,1.32,5.93,67.87
4806,桂田文創,文化創意業,8.28,24.67,5.71,3.27,5.58,28.8
1795,美時,生技醫療業,8.27,24.79,27.9,1.07,5.07,27.95
8423,保綠-KY,綠能環保,8.27,16.08,10.64,1.39,6.48,37.45
8942,森鉅,其他業,8.26,25.06,22.0,3.7,5.12,24.07
00934,中信成長高股息,其他,8.26,29.64,20.73,3.44,5.33,37.85
6550,北極星藥業-KY,生技醫療業,8.26,29.87,23.24,2.75,7.38,35.73
00662,富邦NASDAQ,其他,8.25,21.56,7.5,1.75,6.07,42.54
7743,金利食安,其他,8.23,22.35,11.44,4.44,6.42,46.19
2939,永邑-KY,貿易百貨業,8.23,20.5,11.59,2.17,5.99,45.64
6697,東捷資訊,資訊服務業,8.23,24.82,24.55,2.27,5.86,27.18
8444,綠河-KY,其他業,8.22,21.31,8.37,3.42,7.23,21.43
1312,國喬,塑膠工業,8.21,23.52,7.21,0.92,7.77,66.67
4938,和碩,電腦及週邊設備業,8.21,14.73,14.46,0.97,7.87,31.86
2636,台驊控股,航運業,8.21,29.24,23.67,2.04,7.67,38.9
6901,鑽石投資,其他業,8.2,24.5,18.07,3.26,7.84,45.7
4304,勝昱,塑膠工業,8.2,21.26,13.2,1.45,7.14,61.7
00933B,國泰10Y+金融債,其他,8.2,26.71,5.86,0.84,6.68,62.38
6464,台數科,其他業,8.19,21.24,8.3,3.96,6.59,29.9
6788,華景電,半導體業,8.19,20.38,15.21,4.95,6.86,35.81
00695B,富邦美債7-10,其他,8.18,29.91,9.08,4.52,7.53,54.87
009806,台新標普500,其他,8.18,19.3,21.32,0.75,7.95,36.98
5426,振發,電腦及週邊設備業,8.18,23.21,20.25,4.27,5.02,21.64
2029,盛餘,鋼鐵工業,8.17,27.66,24.04,2.14,6.76,39.79
1593,祺驊,運動休閒,8.17,22.32,6.4,1.73,6.34,49.38
6112,邁達特,資訊服務業,8.17,28.11,21.48,3.81,5.18,34.43
5489,彩富,其他電子業,8.16,19.13,14.81,3.41,5.03,22.03
2360,致茂,其他電子業,8.16,29.99,30.3,0.68,7.41,21.29
5864,致和證,金融保險業,8.15,24.02,26.58,1.09,7.39,37.25
6226,光鼎,光電業,8.15,26.84,19.14,4.5,5.0,40.57
2382,廣達,電腦及週邊設備業,8.14,21.79,14.82,4.77,5.51,41.2
8432,東生華,生技醫療業,8.14,22.57,20.97,2.25,6.48,35.62
2404,漢唐,其他電子業,8.14,22.6,26.05,1.38,6.55,25.95
6535,順藥,生技醫療業,8.13,23.07,19.28,1.73,5.17,51.36
6615,慧智,生技醫療業,8.13,17.98,13.46,2.69,7.79,33.96
2597,潤弘,建材營造業,8.13,21.15,16.68,1.66,6.69,52.31
8926,台汽電,油電燃氣業,8.13,29.67,26.86,1.87,6.4,35.69
00787B,元大10年IG醫療債,其他,8.13,29.28,20.55,1.32,7.42,62.09
6873,泓德能源,綠能環保,8.13,20.8,11.06,1.13,5.79,69.5
1727,中華化,化學工業,8.12,25.66,8.75,3.67,7.45,52.37
00768B,復華20年美債,其他,8.12,19.81,14.99,4.66,6.23,36.16
3317,尼克森,半導體業,8.1,19.67,14.2,4.54,7.63,32.11
9935,慶豐富,居家生活,8.1,21.09,8.74,2.91,7.01,42.76
3135,凌航,其他,8.1,14.98,10.47,1.88,5.55,24.8
2511,太子,建材營造業,8.07,18.32,22.19,0.77,6.61,22.1
00895,富邦未來車,其他,8.07,27.4,22.34,0.59,5.84,65.76
00927,群益半導體收益,其他,8.07,27.71,29.86,0.85,5.79,34.92
6655,科定,其他業,8.06,21.38,9.93,1.73,5.84,60.38
8043,蜜望實,電子零組件業,8.06,26.61,24.91,2.27,7.11,30.21
6533,晶心科,半導體業,8.06,29.23,31.17,0.73,5.57,28.97
00726B,國泰新興投等債,其他,8.06,26.71,19.92,2.47,5.93,55.69
1337,再生-KY,塑膠工業,8.05,21.25,17.49,4.17,6.73,37.32
1455,集盛,紡織纖維,8.05,29.07,22.47,0.61,7.68,66.32
5603,陸海,航運業,8.04,20.4,8.22,1.4,7.49,54.98
7730,暉盛-創,其他,8.04,29.93,17.57,4.47,5.84,59.67
4609,唐鋒,居家生活,8.04,18.38,11.39,4.14,6.9,27.94
5521,工信,建材營造業,8.02,26.82,31.48,0.53,6.53,28.57
3264,欣銓,半導體業,8.02,25.48,26.47,2.47,5.88,26.29
1906,寶隆,造紙工業,8.01,24.04,16.52,2.17,6.96,61.68
4527,方土霖,電機機械,8.01,20.38,22.95,1.96,7.64,28.23
7703,銳澤,其他,8.0,26.04,27.88,0.61,7.63,47.38
2701,萬企,觀光餐旅,8.0,21.72,8.49,1.49,6.22,66.11
6465,威潤,通信網路業,7.99,19.0,11.94,3.09,7.43,34.54
2353,宏碁,電腦及週邊設備業,7.98,16.72,18.3,1.04,7.6,36.23
5292,華懋,綠能環保,7.98,19.76,9.26,4.64,5.8,35.52
4905,台聯電,通信網路業,7.98,22.2,6.24,1.39,5.27,52.39
5011,久陽,鋼鐵工業,7.98,28.91,7.93,4.34,5.17,53.75
3593,力銘,電子零組件業,7.97,21.1,5.54,1.4,6.07,42.53
00642U,期元大S&P石油,其他,7.96,17.86,10.85,1.14,7.96,50.1
2392,正崴,電子零組件業,7.96,19.02,8.97,4.8,6.36,28.0
3323,加百裕,電腦及週邊設備業,7.96,23.42,5.07,3.83,7.34,29.76
7780,大研生醫,其他,7.95,22.01,21.84,0.54,5.87,57.3
00673R,期元大S&P原油反1,其他,7.95,28.05,18.34,3.89,6.8,51.57
3056,富華新,建材營造業,7.95,28.14,20.8,3.08,7.8,46.88
6712,長聖,生技醫療業,7.94,24.95,20.86,4.72,7.52,43.39
6024,群益期,金融保險業,7.94,22.44,14.71,4.01,7.2,51.01
6261,久元,半導體業,7.93,28.92,16.01,4.34,6.73,69.65
2892,第一金,金融保險業,7.93,16.57,16.01,1.49,5.59,45.97
00692,富邦公司治理,其他,7.93,24.31,17.57,4.84,5.89,53.37
3447,展達,通信網路業,7.91,17.55,14.36,1.01,6.44,55.49
6405,悅城,光電業,7.91,15.69,13.18,2.72,5.9,28.06
1442,名軒,建材營造業,7.91,18.52,10.94,3.76,7.23,35.29
6884,海柏特,其他,7.9,25.48,21.26,2.22,5.37,51.96
2748,雲品,觀光餐旅,7.9,20.27,18.68,4.98,7.73,20.94
8442,威宏-KY,其他業,7.89,24.94,25.01,3.2,5.28,20.81
3312,弘憶股,電子通路業,7.89,17.46,10.0,4.86,6.11,27.44
5432,新門,光電業,7.87,24.41,18.24,3.49,7.44,56.08
3481,群創,光電業,7.86,23.75,6.72,2.98,6.14,58.51
6206,飛捷,電腦及週邊設備業,7.86,28.48,7.25,2.53,6.03,66.46
009809,富邦淨零ESG50,其他,7.85,18.88,6.83,1.47,5.99,46.7
1445,大宇,紡織纖維,7.85,29.4,8.89,4.5,7.16,65.11
3219,倚強科,其他電子業,7.85,18.13,12.21,0.77,5.48,63.26
6174,安碁,電子零組件業,7.84,19.96,18.78,1.17,6.92,54.78
8924,大田,運動休閒,7.82,13.28,14.0,1.76,5.83,20.96
8171,天宇,綠能環保,7.82,19.83,13.9,4.69,6.26,44.24
3230,錦明,光電業,7.82,17.09,5.78,1.21,5.84,29.49
1438,三地開發,建材營造業,7.82,20.57,27.22,0.94,5.94,25.05
6716,應廣,半導體業,7.81,14.9,16.03,0.53,7.64,41.25
00980D,主動聯博投等入息,其他,7.81,29.67,5.35,4.02,5.23,41.51
00932,兆豐永續高息等權,其他,7.81,17.24,21.63,0.59,6.05,30.49
2424,隴華,通信網路業,7.8,26.56,25.86,4.5,5.18,23.1
00685L,群益臺灣加權正2,其他,7.8,18.57,8.51,3.1,6.56,28.38
6614,資拓宏宇,其他,7.8,27.22,22.09,2.8,5.09,50.81
6182,合晶,半導體業,7.8,21.06,18.12,1.21,6.86,61.29
2231,為升,汽車工業,7.79,20.69,27.64,0.66,6.05,23.69
2207,和泰車,汽車工業,7.79,29.23,17.13,3.96,6.08,61.31
1813,寶利徠,生技醫療業,7.79,21.91,20.55,4.63,7.27,31.85
9931,欣高,油電燃氣業,7.79,18.69,10.86,1.1,7.94,66.2
3191,雲嘉南,電子零組件業,7.78,20.26,23.4,0.81,5.68,43.05
3709,鑫聯大投控,電腦及週邊設備業,7.77,26.29,28.6,1.49,5.66,45.39
6120,達運,光電業,7.76,26.55,26.13,4.64,7.52,21.96
4972,湯石照明,光電業,7.76,17.81,5.61,1.54,5.26,25.61
1465,偉全,紡織纖維,7.76,18.73,7.28,0.86,7.88,56.62
3516,亞帝歐,光電業,7.74,18.32,7.54,2.65,6.63,38.94
00664R,國泰臺灣加權反1,其他,7.74,18.0,21.99,1.45,5.91,34.64
2724,藝舍-KY,觀光餐旅,7.74,24.95,33.73,0.68,7.73,20.56
8162,微矽電子-創,半導體業,7.73,26.12,26.39,4.19,7.49,21.96
6730,常廣,其他,7.71,24.83,32.63,0.52,6.91,39.77
3029,零壹,資訊服務業,7.7,18.57,16.81,3.94,5.17,36.7
8077,洛碁,觀光餐旅,7.7,29.07,31.68,1.21,5.19,39.2
00770,國泰北美科技,其他,7.7,20.91,13.29,2.74,6.09,69.72
1721,三晃,化學工業,7.69,23.77,21.38,4.01,6.18,43.21
5523,豐謙,建材營造業,7.69,29.8,20.49,2.46,7.64,61.92
8411,福貞-KY,其他業,7.68,17.29,19.02,1.45,5.05,41.26
8201,無敵,其他電子業,7.66,20.66,11.85,4.92,7.92,56.54
00760B,復華新興企業債,其他,7.66,27.52,24.53,1.39,5.23,61.24
1626,艾美特-KY,電器電纜,7.65,25.09,20.86,3.36,5.51,58.74
00655L,國泰中國A50正2,其他,7.64,16.0,9.89,1.33,6.3,52.97
8033,雷虎,其他業,7.64,14.94,13.3,2.81,7.88,38.93
7786,東方風能,其他,7.64,21.36,28.59,1.48,7.29,26.66
2881A,富邦特,金融保險業,7.63,29.13,25.97,3.64,7.97,38.53
3038,全台,光電業,7.63,19.66,18.88,3.93,7.97,31.78
8277,商丞,半導體業,7.63,26.39,25.96,2.53,5.31,48.58
4126,太醫,生技醫療業,7.63,22.37,11.52,3.09,5.7,69.56
6732,昇佳電子,半導體業,7.62,12.92,11.28,0.5,5.2,48.21
3021,鴻名,電子零組件業,7.61,14.93,16.45,2.26,6.05,20.27
4721,美琪瑪,化學工業,7.6,17.2,15.85,1.58,7.04,50.32
6456,GIS-KY,光電業,7.6,28.57,7.51,4.07,6.58,64.95
3704,合勤控,通信網路業,7.59,26.39,28.81,2.92,5.77,35.24
1618,合機,電器電纜,7.59,23.38,24.18,4.52,8.0,32.04
8424,惠普,建材營造業,7.59,20.18,19.92,2.94,5.31,48.06
6486,互動,通信網路業,7.58,29.53,28.93,2.41,6.41,37.66
4906,正文,通信網路業,7.58,15.47,10.23,4.26,5.52,22.99
3059,華晶科,光電業,7.58,29.62,28.9,2.95,5.03,37.63
3022,威強電,電腦及週邊設備業,7.58,24.93,23.8,2.74,7.98,55.65
00961,FT臺灣永續高息,其他,7.56,10.66,12.55,1.45,6.93,22.44
3687,歐買尬,數位雲端,7.55,20.01,13.22,4.63,5.96,51.89
3149,正達,光電業,7.54,13.38,13.06,1.1,5.08,40.34
3090,日電貿,電子零組件業,7.54,28.02,35.49,0.75,5.51,22.44
6692,進能服,綠能環保,7.54,18.08,15.03,2.89,7.19,52.25
2484,希華,電子零組件業,7.54,23.71,28.78,1.27,7.23,44.42
6596,寬宏藝術,文化創意業,7.52,24.66,26.45,4.06,5.77,33.98
6109,亞元,通信網路業,7.52,19.83,8.31,3.72,5.74,40.87
8416,實威,資訊服務業,7.51,20.05,22.92,0.8,7.1,55.01
5478,智冠,文化創意業,7.51,23.32,19.72,2.17,7.61,60.16
00982A,主動群益台灣強棒,其他,7.51,13.73,15.71,2.26,6.65,24.07
3035,智原,半導體業,7.51,15.02,17.44,1.0,7.81,46.44
7717,萊德光電-KY,其他,7.5,9.37,13.71,0.92,7.17,26.48
5202,力新,資訊服務業,7.49,21.53,26.26,2.34,6.61,28.48
00931B,統一美債20年,其他,7.49,19.63,21.24,3.44,6.01,21.52
8467,波力-KY,運動休閒,7.48,20.0,7.94,1.84,6.24,67.62
3051,力特,光電業,7.47,20.17,22.13,3.4,7.02,20.63
00633L,富邦上証正2,其他,7.47,18.12,9.58,4.5,5.75,41.07
00955,中信日本商社,其他,7.46,18.28,18.42,4.97,7.85,39.86
2421,建準,電子零組件業,7.46,14.91,9.83,3.13,7.47,20.67
3526,凡甲,電子零組件業,7.46,21.55,22.79,3.76,5.21,32.42
2707,晶華,觀光餐旅,7.46,24.24,26.37,4.01,7.1,32.02
00717,富邦美國特別股,其他,7.46,23.24,25.1,1.66,6.42,53.08
8906,花王,其他業,7.45,14.05,15.4,2.53,6.7,30.48
8050,廣積,電腦及週邊設備業,7.45,15.56,17.43,2.62,7.66,35.16
1216,統一,食品工業,7.45,27.87,22.53,3.49,5.16,59.88
2417,圓剛,電腦及週邊設備業,7.44,13.71,13.81,2.03,5.26,30.72
3528,安馳,電子通路業,7.44,16.8,16.61,2.92,7.18,41.86
7728,光焱科技,其他,7.44,25.93,25.12,3.07,7.34,45.35
3527,聚積,半導體業,7.43,18.94,17.08,2.59,7.47,50.33
3055,蔚華科,電子通路業,7.43,28.36,31.45,2.93,5.82,25.41
1525,江申,汽車工業,7.42,20.88,5.14,4.33,7.22,39.69
1236,宏亞,食品工業,7.41,18.92,8.5,4.43,6.2,45.09
00980T,平衡凱基美國TOP,其他,7.41,29.13,29.12,3.86,5.24,20.33
6792,詠業,通信網路業,7.4,23.82,21.38,3.99,7.46,59.73
4545,銘鈺,電子零組件業,7.4,25.0,27.92,2.85,5.36,48.48
1313,聯成,塑膠工業,7.39,22.56,33.49,0.81,5.07,29.96
00905,FT臺灣Smart,其他,7.38,10.55,9.11,0.57,7.73,39.19
8261,富鼎,半導體業,7.38,17.04,11.07,3.93,5.36,45.86
1256,鮮活果汁-KY,食品工業,7.38,28.4,25.6,2.34,7.2,54.93
9930,中聯資源,綠能環保,7.38,27.37,23.12,3.94,7.22,54.87
1731,美吾華,生技醫療業,7.38,27.39,25.62,3.42,5.96,45.33
4142,國光生,生技醫療業,7.37,13.55,7.24,1.13,6.42,33.82
3028,增你強,電子通路業,7.37,22.35,32.12,1.34,7.27,22.05
1314,中石化,塑膠工業,7.37,13.99,16.0,2.73,5.84,37.61
020027,元大上櫃ESG成長N,其他,7.37,26.86,34.4,1.8,5.09,23.67
00876,元大全球5G,其他,7.36,28.24,32.03,2.75,6.95,21.86
8102,傑霖科技,其他,7.36,12.43,15.21,2.78,5.04,22.71
6590,普鴻,資訊服務業,7.35,16.48,24.51,0.77,7.03,36.66
4157,太景*-KY,生技醫療業,7.35,9.37,10.88,1.44,6.49,20.23
5312,寶島科,生技醫療業,7.35,21.41,21.08,4.03,7.93,48.13
2702,華園,觀光餐旅,7.34,28.23,32.19,2.67,5.5,22.71
5548,安倉,建材營造業,7.34,18.88,21.49,4.09,5.17,28.73
6790,永豐實,造紙工業,7.33,20.47,14.05,4.42,5.32,64.43
3483,力致,電腦及週邊設備業,7.33,13.08,6.61,0.62,5.68,36.63
4414,如興,紡織纖維,7.33,15.24,9.7,4.87,5.07,35.09
02001R,富邦蘋果反一N,其他,7.33,23.66,21.69,2.94,7.3,60.48
1467,南緯,紡織纖維,7.33,21.5,28.84,1.62,7.83,36.7
5904,寶雅,居家生活,7.32,28.95,23.59,3.06,5.26,58.1
3504,揚明光,光電業,7.32,10.13,13.82,1.6,7.31,25.1
6419,京晨科,光電業,7.31,18.31,20.99,4.7,7.75,26.1
6756,威鋒電子,半導體業,7.31,26.97,37.42,0.59,5.18,21.07
00703,台新MSCI中國,其他,7.31,23.23,26.3,2.95,5.5,47.09
00725B,國泰投資級公司債,其他,7.3,16.57,12.47,3.1,5.34,40.49
2542,興富發,建材營造業,7.3,19.67,8.9,3.05,6.8,56.72
6230,尼得科超眾,電腦及週邊設備業,7.3,29.6,28.74,4.26,6.28,37.28
6526,達發,半導體業,7.3,13.75,13.6,3.43,5.72,24.37
8107,大億金茂,電機機械,7.28,12.5,9.31,2.88,7.38,27.63
6213,聯茂,電子零組件業,7.28,29.95,30.16,3.07,6.26,20.56
2328,廣宇,電子零組件業,7.28,28.74,26.43,2.88,5.94,56.43
5371,中光電,光電業,7.27,25.4,37.73,0.77,6.75,28.86
5258,虹堡,電腦及週邊設備業,7.26,15.87,7.08,2.6,5.78,32.25
00845B,富邦新興投等債,其他,7.26,21.42,7.13,4.71,5.97,59.26
020037,元大金融高股息N,其他,7.25,29.33,30.41,3.41,6.4,29.11
